x Time Lat Lon Unscaled IMIC RADS GIM
0  2016-05-29 10:52:00 -48.804525  336.966346 -0.009535 -0.012928  -0.0099
1  2016-06-06 13:11:00   30.63341  127.053636  0.005133 -0.003227   0.0056
2  2016-06-12 17:15:00  22.200386   67.530746  0.000012 -0.005447   0.0025
3  2016-06-15 05:48:00  13.515868  240.714304 -0.000332 -0.009182  -0.0025
4  2016-06-18 10:35:00 -53.894309  339.257423 -0.007566 -0.010218   -0.007
5  2016-06-19 17:33:00  20.687794   63.224374  0.005229 -0.000381   0.0025
6  2016-07-10 17:45:00 -42.974546  235.444471 -0.000384 -0.003892   0.0025
7  2016-08-05 19:46:00 -18.774414  210.513202 -0.001327 -0.008163   0.0017
8  2016-09-17 10:13:00   10.49895   175.00391  0.000322 -0.008224   0.0013
9  2016-09-23 00:56:00   26.32058  311.463761 -0.002053 -0.004875  -0.0009
10 2016-09-28 21:24:00  -9.096063  187.492205 -0.008643  -0.02536  -0.0064
11 2016-10-01 15:11:00 -39.902341  274.821133 -0.004568 -0.013725  -0.0037
12 2016-10-02 18:09:00 -48.041197  227.874894 -0.004132 -0.008994   0.0027
13 2016-10-18 04:27:00 -50.489922   72.540787 -0.009363 -0.013547  -0.0042
14 2016-11-12 10:21:00 -47.206421  345.113016 -0.002379 -0.008344    0.002
15 2016-11-17 00:27:00  16.500357  320.437646  0.000592 -0.005871  -0.0056
16 2016-11-28 17:33:00   20.66432   63.234911   0.00585  0.001894   0.0049
17 2017-01-10 10:32:00  10.025503  170.443112 -0.004535 -0.008327  -0.0084
18 2017-02-07 14:30:00 -51.483263  281.542872 -0.001567 -0.005519  -0.0004
19 2017-02-13 10:09:00 -43.613644  349.292619   0.00204  -0.00395  -0.0016
